id,track_id,source,source_url,source_track_id,bpm,musical_key,camelot_key,genre,label,release_title,release_date,confidence,raw_json,fetched_at
26,1820,beatport,https://www.beatport.com/track/lips-like-sugar/27488272,27488272,125,C Minor,5A,Deep House,IN / ROTATION (Insomniac Records),,2026-04-14,manual-search-result,"{""url"": ""https://www.beatport.com/track/lips-like-sugar/27488272"", ""title"": ""Lips Like Sugar Extended Mix"", ""rowText"": ""Lips Like Sugar Extended Mix RaeCola, Born Dirty IN / ROTATION (Insomniac Records) Deep House 125 BPM - C Minor 2026-04-14 $1.69""}",2026-05-26T00:20:45.197409+00:00
27,1821,beatport,https://www.beatport.com/track/girl-on-the-beat-/24397005,24397005,129,E Minor,9A,Tech House,Black Book Records,,2026-04-03,manual-search-result,"{""url"": ""https://www.beatport.com/track/girl-on-the-beat-/24397005"", ""title"": ""Girl On The Beat Kyle Watson Extended Energy Dub"", ""rowText"": ""Girl On The Beat Kyle Watson Extended Energy Dub Shermanology, Kyle Watson Black Book Records Tech House 129 BPM - E Minor 2026-04-03 $1.69""}",2026-05-26T00:20:54.908098+00:00
28,1822,beatport,https://www.beatport.com/track/free-your-mind/26919525,26919525,128,B Minor,10A,House,CircoLoco Records,,2026-03-27,manual-search-result,"{""url"": ""https://www.beatport.com/track/free-your-mind/26919525"", ""title"": ""Free Your Mind Extended Mix"", ""rowText"": ""Free Your Mind Extended Mix Cloonee, Prospa CircoLoco Records House 128 BPM - B Minor 2026-03-27 $1.49""}",2026-05-26T00:21:04.657462+00:00
29,1823,beatport,https://www.beatport.com/track/one-i-want/27909452,27909452,126,Db Minor,12A,House,Broke,,2026-04-03,manual-search-result,"{""url"": ""https://www.beatport.com/track/one-i-want/27909452"", ""title"": ""One I Want Extended"", ""rowText"": ""One I Want Extended Hayden James, Yeah Boy, Kormak Broke House 126 BPM - Db Minor 2026-04-03 $1.69""}",2026-05-26T00:21:16.760205+00:00
30,1824,beatport,https://www.beatport.com/track/spirit-higher/26852793,26852793,129,C Minor,5A,House,Yes Yes Yes,,2026-03-26,manual-search-result,"{""url"": ""https://www.beatport.com/track/spirit-higher/26852793"", ""title"": ""Spirit Higher Extended"", ""rowText"": ""Spirit Higher Extended EMJIE, LP Giobbi Yes Yes Yes House 129 BPM - C Minor 2026-03-26 $1.49""}",2026-05-26T00:21:25.774983+00:00
31,1825,beatport,https://www.beatport.com/track/patchwork/28420603,28420603,129,A Minor,8A,Dance / Pop,Ninja Tune,,2026-04-10,manual-search-result,"{""url"": ""https://www.beatport.com/track/patchwork/28420603"", ""title"": ""Patchwork Extended Mix"", ""rowText"": ""Patchwork Extended Mix Paige Cavell, Carlita Ninja Tune Dance / Pop 129 BPM - A Minor 2026-04-10 $1.69""}",2026-05-26T00:21:35.349566+00:00
32,1826,beatport,https://www.beatport.com/track/yes-empress-/26770786,26770786,131,G Major,9B,House,Coffee Cola,,2026-04-09,manual-search-result,"{""url"": ""https://www.beatport.com/track/yes-empress-/26770786"", ""title"": ""Yes Empress Original Mix"", ""rowText"": ""Yes Empress Original Mix Luke Alessi Coffee Cola House 131 BPM - G Major 2026-04-09 $1.69""}",2026-05-26T00:21:50.231278+00:00
33,1827,beatport,https://www.beatport.com/track/misdemeanour-feat-lpsley/28465919,28465919,132,Db Minor,12A,House,Club Blasé,,2026-04-21,manual-search-result,"{""url"": ""https://www.beatport.com/track/misdemeanour-feat-lpsley/28465919"", ""title"": ""Misdemeanour (Feat. Låpsley) Extended Mix"", ""rowText"": ""Misdemeanour (Feat. Låpsley) Extended Mix Duke Dumont, Låpsley Club Blasé House 132 BPM - Db Minor 2026-04-21 $1.69""}",2026-05-26T00:22:01.104761+00:00
34,1828,beatport,https://www.beatport.com/track/ume/26937241,26937241,132,Bb Minor,3A,Dance / Pop,Armada Music,,2026-04-03,manual-search-result,"{""url"": ""https://www.beatport.com/track/ume/26937241"", ""title"": ""U&Me Extended Mix"", ""rowText"": ""U&Me Extended Mix Faustyna Maciejczuk, Catz 'n Dogz Armada Music Dance / Pop 132 BPM - Bb Minor 2026-04-03 $1.69""}",2026-05-26T00:22:12.628684+00:00
35,1829,beatport,https://www.beatport.com/track/for-the-day/28483547,28483547,134,F Major,7B,Dance / Pop,Queens Road Music,,2026-04-17,manual-search-result,"{""url"": ""https://www.beatport.com/track/for-the-day/28483547"", ""title"": ""For The Day Kiimi Remix"", ""rowText"": ""For The Day Kiimi Remix STRAWBRY, Kiimi Queens Road Music Dance / Pop 134 BPM - F Major 2026-04-17 $1.69""}",2026-05-26T00:22:25.845339+00:00
36,1830,beatport,https://www.beatport.com/track/dancing-boys-dancing-girls/28330628,28330628,130,Eb Minor,2A,Bass House,October Records,,2026-04-24,manual-search-result,"{""url"": ""https://www.beatport.com/track/dancing-boys-dancing-girls/28330628"", ""title"": ""Dancing Boys, Dancing Girls Extended Mix"", ""rowText"": ""Dancing Boys, Dancing Girls Extended Mix Odd Mob October Records Bass House 130 BPM - Eb Minor 2026-04-24 $1.69""}",2026-05-26T00:22:36.421841+00:00
37,1831,beatport,https://www.beatport.com/track/unconditional/28422523,28422523,140,D Minor,7A,UK Garage / Bassline,Disorder,,2026-04-24,manual-search-result,"{""url"": ""https://www.beatport.com/track/unconditional/28422523"", ""title"": ""Unconditional Extended Mix"", ""rowText"": ""Unconditional Extended Mix MPH Disorder UK Garage / Bassline 140 BPM - D Minor 2026-04-24 $1.69""}",2026-05-26T00:22:52.577200+00:00
